"rt","stimulus","key_press","test_part","contains_relevant_data","trial_type","trial_index","time_elapsed","internal_node_id","datetime","state","correct","grid","target","pre_target_duration"
"5967.870000000068","","86","crt","true","serial-reaction-time","52","98956","0.0-3.0-0.49","","trial","true","[[1,1,1,1]]","[0,1]","1000"
"3864.36500000002","","78","crt","true","serial-reaction-time","53","104076","0.0-3.0-0.50","","trial","true","[[1,1,1,1]]","[0,3]","1250"
"12038.49000000002","","67","crt","true","serial-reaction-time","54","117373","0.0-3.0-0.51","","trial","true","[[1,1,1,1]]","[0,0]","1250"
"926.910000000018","","78","crt","true","serial-reaction-time","55","118804","0.0-3.0-0.52","","trial","true","[[1,1,1,1]]","[0,3]","500"
"323.8949999999895","","66","crt","true","serial-reaction-time","56","119884","0.0-3.0-0.53","","trial","true","[[1,1,1,1]]","[0,2]","750"
"308","","78","crt","true","serial-reaction-time","57","121460","0.0-3.0-0.54","","trial","false","[[1,1,1,1]]","[0,2]","1250"
"332.96499999995285","","78","crt","true","serial-reaction-time","58","122299","0.0-3.0-0.55","","trial","true","[[1,1,1,1]]","[0,3]","500"
"379.879999999961","","86","crt","true","serial-reaction-time","59","124195","0.0-3.0-0.56","","trial","true","[[1,1,1,1]]","[0,1]","1500"
"532.3200000000215","","67","crt","true","serial-reaction-time","60","125484","0.0-3.0-0.57","","trial","false","[[1,1,1,1]]","[0,2]","750"
"402.93499999996857","","86","crt","true","serial-reaction-time","61","126900","0.0-3.0-0.58","","trial","true","[[1,1,1,1]]","[0,1]","1000"
"689.9799999999814","","67","crt","true","serial-reaction-time","62","128844","0.0-3.0-0.59","","trial","true","[[1,1,1,1]]","[0,0]","1250"
"806.8900000000722","","78","crt","true","serial-reaction-time","63","130667","0.0-3.0-0.60","","trial","true","[[1,1,1,1]]","[0,3]","1000"
"345.06500000008964","","67","crt","true","serial-reaction-time","64","132021","0.0-3.0-0.61","","trial","true","[[1,1,1,1]]","[0,0]","1000"
"347.30000000001746","","67","crt","true","serial-reaction-time","65","133628","0.0-3.0-0.62","","trial","true","[[1,1,1,1]]","[0,0]","1250"
"1380.0200000000768","","67","crt","true","serial-reaction-time","66","136268","0.0-3.0-0.63","","trial","true","[[1,1,1,1]]","[0,0]","1250"
"1539.7999999999884","","66","crt","true","serial-reaction-time","67","139324","0.0-3.0-0.64","","trial","true","[[1,1,1,1]]","[0,2]","1500"
"403.4900000000489","","66","crt","true","serial-reaction-time","68","140740","0.0-3.0-0.65","","trial","true","[[1,1,1,1]]","[0,2]","1000"
"2580.015000000014","","67","crt","true","serial-reaction-time","69","144324","0.0-3.0-0.66","","trial","true","[[1,1,1,1]]","[0,0]","1000"
"6861.125000000029","","67","crt","true","serial-reaction-time","70","151948","0.0-3.0-0.67","","trial","false","[[1,1,1,1]]","[0,3]","750"
"20015.494999999995","","66","crt","true","serial-reaction-time","71","173469","0.0-3.0-0.68","","trial","true","[[1,1,1,1]]","[0,2]","1500"
"1674.4950000000827","","66","crt","true","serial-reaction-time","72","175901","0.0-3.0-0.69","","trial","true","[[1,1,1,1]]","[0,2]","750"
"1002.8650000000489","","86","crt","true","serial-reaction-time","73","177908","0.0-3.0-0.70","","trial","true","[[1,1,1,1]]","[0,1]","1000"
"489.11999999996624","","67","crt","true","serial-reaction-time","74","179900","0.0-3.0-0.71","","trial","true","[[1,1,1,1]]","[0,0]","1500"
"3312.8799999999464","","66","crt","true","serial-reaction-time","75","184476","0.0-3.0-0.72","","trial","true","[[1,1,1,1]]","[0,2]","1250"
"951.9649999999674","","67","crt","true","serial-reaction-time","76","185932","0.0-3.0-0.73","","trial","true","[[1,1,1,1]]","[0,0]","500"
"934.2999999999884","","86","crt","true","serial-reaction-time","77","187620","0.0-3.0-0.74","","trial","true","[[1,1,1,1]]","[0,1]","750"
"870.0349999999162","","86","crt","true","serial-reaction-time","78","190004","0.0-3.0-0.75","","trial","true","[[1,1,1,1]]","[0,1]","1500"
"606.564999999915","","66","crt","true","serial-reaction-time","79","191372","0.0-3.0-0.76","","trial","true","[[1,1,1,1]]","[0,2]","750"
"778.7949999999546","","78","crt","true","serial-reaction-time","80","192660","0.0-3.0-0.77","","trial","true","[[1,1,1,1]]","[0,3]","500"
"2105.465000000113","","67","crt","true","serial-reaction-time","81","195780","0.0-3.0-0.78","","trial","true","[[1,1,1,1]]","[0,0]","1000"
"621.265000000014","","67","crt","true","serial-reaction-time","82","197156","0.0-3.0-0.79","","trial","true","[[1,1,1,1]]","[0,0]","750"
"944.2749999999651","","67","crt","true","serial-reaction-time","83","199116","0.0-3.0-0.80","","trial","true","[[1,1,1,1]]","[0,0]","1000"
"595.640000000014","","67","crt","true","serial-reaction-time","84","201228","0.0-3.0-0.81","","trial","true","[[1,1,1,1]]","[0,0]","1500"
"753.0350000000908","","86","crt","true","serial-reaction-time","85","202493","0.0-3.0-0.82","","trial","true","[[1,1,1,1]]","[0,1]","500"
"413.1949999999779","","78","crt","true","serial-reaction-time","86","204412","0.0-3.0-0.83","","trial","true","[[1,1,1,1]]","[0,3]","1500"
"911.5500000000175","","78","crt","true","serial-reaction-time","87","206084","0.0-3.0-0.84","","trial","true","[[1,1,1,1]]","[0,3]","750"
"400.22000000000116","","67","crt","true","serial-reaction-time","88","207492","0.0-3.0-0.85","","trial","true","[[1,1,1,1]]","[0,0]","1000"
"718.1349999999511","","86","crt","true","serial-reaction-time","89","208964","0.0-3.0-0.86","","trial","true","[[1,1,1,1]]","[0,1]","750"
"3301.7200000000594","","67","crt","true","serial-reaction-time","90","213020","0.0-3.0-0.87","","trial","true","[[1,1,1,1]]","[0,0]","750"
"581.5800000000163","","78","crt","true","serial-reaction-time","91","214605","0.0-3.0-0.88","","trial","true","[[1,1,1,1]]","[0,3]","1000"
"1893.109999999986","","78","crt","true","serial-reaction-time","92","217012","0.0-3.0-0.89","","trial","true","[[1,1,1,1]]","[0,3]","500"
"7332.454999999987","","66","crt","true","serial-reaction-time","93","225860","0.0-3.0-0.90","","trial","true","[[1,1,1,1]]","[0,2]","1500"
"1893.289999999979","","66","crt","true","serial-reaction-time","94","228268","0.0-3.0-0.91","","trial","true","[[1,1,1,1]]","[0,2]","500"
"1427.289999999979","","78","crt","true","serial-reaction-time","95","230948","0.0-3.0-0.92","","trial","true","[[1,1,1,1]]","[0,3]","1250"
"788.7799999999697","","67","crt","true","serial-reaction-time","96","232747","0.0-3.0-0.93","","trial","true","[[1,1,1,1]]","[0,0]","1000"
"2119.1900000000023","","66","crt","true","serial-reaction-time","97","235628","0.0-3.0-0.94","","trial","true","[[1,1,1,1]]","[0,2]","750"
"357.52999999999884","","66","crt","true","serial-reaction-time","98","236501","0.0-3.0-0.95","","trial","false","[[1,1,1,1]]","[0,3]","500"
"353.1600000000035","","86","crt","true","serial-reaction-time","99","237356","0.0-3.0-0.96","","trial","true","[[1,1,1,1]]","[0,1]","500"
"739.8999999999069","","78","crt","true","serial-reaction-time","100","239612","0.0-3.0-0.97","","trial","true","[[1,1,1,1]]","[0,3]","1500"
"450.0199999999895","","66","crt","true","serial-reaction-time","101","241324","0.0-3.0-0.98","","trial","false","[[1,1,1,1]]","[0,1]","1250"
"922.0450000000419","","66","crt","true","serial-reaction-time","102","243012","0.0-3.0-0.99","","trial","false","[[1,1,1,1]]","[0,1]","750"
"null","","null","time_logging","true","html-keyboard-response","103","243015","0.0-4.0","2021-05-06_16:12:00","end","","","",""
